                  15      7.6414264952211     7.64142697458399     7.64142673490254 -9.84960155214765e-07
                  15     10.6958242638375     10.6958247432004      10.695824503519 -2.80473470226639e-07
                  15     13.7478683606508     13.7478688400136     13.7478686003322 -4.32769424740798e-08
                  14     16.7965856789887     16.7965866377144     16.7965861583516 -9.99690743963555e-07
                  14     19.8406857739441     19.8406867326699      19.840686253307 3.84397044195239e-07
                  12     22.8783211809286     22.8783250158317     22.8783230983802 -6.83284764324554e-08
                  13      25.906615722586     25.9066176400375     25.9066166813118 4.74704174524554e-07
                  12     28.9204756888184     28.9204795237215       28.92047760627 1.54908294969225e-07
                  13     31.9089313391894      31.908933256641     31.9089322979152 2.80138013675213e-07
                  12     34.8351771907988     34.8351810257019     34.8351791082504 7.70308062059133e-07
