-75.0	0.000000	0.000000
-73.0	1371468.400701	0.002079
-71.0	8944511.033045	0.005170
-69.0	33119527.668613	0.009622
-67.0	98042514.736303	0.015999
-65.0	258705641.375303	0.025216
-63.0	638320633.308890	0.038689
-61.0	1507281716.382675	0.058462
-59.0	3444046878.810515	0.087332
-57.0	7651734591.193791	0.128995
-55.0	16561331578.008377	0.188245
-53.0	34946063253.435898	0.271244
-51.0	71917842138.980362	0.385827
-49.0	144392825663.759857	0.541816
-47.0	282912120481.273193	0.751298
-45.0	541086959191.473328	1.028809
-43.0	1010383648045.068359	1.391410
-41.0	1842413238369.104980	1.858602
-39.0	3281232253665.765625	2.452054
-37.0	5708217678248.722656	3.195110
-35.0	9701613705466.996094	4.112042
-33.0	16111587715568.195312	5.227005
-31.0	26149336666284.171875	6.562697
-29.0	41485339067793.109375	8.138739
-27.0	64347385260336.312500	9.969840
-25.0	97604025402797.593750	12.063853
-23.0	144814437537721.500000	14.419852
-21.0	210222675094375.062500	17.026405
-19.0	298674211753622.750000	19.860203
-17.0	415436926898291.562500	22.885219
-15.0	565917886744205.875000	26.052556
-13.0	755281243765189.375000	29.301087
-11.0	987989839429014.750000	32.558967
-9.0	1267310948611474.750000	35.746009
-7.0	1594841452421017.500000	38.776850
-5.0	1970115798348127.500000	41.564755
-3.0	2390358406519153.500000	44.025800
-1.0	2850429419930322.500000	46.083164
1.0	3342989908233964.000000	47.671204
3.0	3858883225424375.000000	48.738985
5.0	4387698371165051.000000	49.253012
7.0	4918454731790965.000000	49.198950
9.0	5440330566819831.000000	48.582211
11.0	5943353195718254.000000	47.427391
13.0	6418977493494672.000000	45.776630
15.0	6860498796941048.000000	43.687044
17.0	7263272397059333.000000	41.227465
19.0	7624739271987144.000000	38.474732
21.0	7944281742086683.000000	35.509846
23.0	8222949777195638.000000	32.414219
25.0	8463107104317707.000000	29.266299
27.0	8668046293558567.000000	26.138721
29.0	8841615351863677.000000	23.096127
31.0	8987887544691647.000000	20.193711
33.0	9110893831048562.000000	17.476489
35.0	9214425654712220.000000	14.979243
37.0	9301906379954078.000000	12.727039
39.0	9376323101857300.000000	10.736168
41.0	9440206933044626.000000	9.015282
43.0	9495648739508778.000000	7.566375
45.0	9544338002716492.000000	6.385134
47.0	9587614316403628.000000	5.460122
49.0	9626523366792344.000000	4.770827
51.0	9661871630512030.000000	4.285977
53.0	9694276157667244.000000	3.964809
55.0	9724207536090334.000000	3.762624
57.0	9752025414273362.000000	3.638189
59.0	9778006823822944.000000	3.558935
61.0	9802368055306528.000000	3.502302
63.0	9825281085907168.000000	3.454347
65.0	9846885613075240.000000	3.407398
67.0	9867297684009786.000000	3.357860
69.0	9886615780477208.000000	3.304561
71.0	9904925061815604.000000	3.247637
73.0	9922300312738936.000000	3.187830
75.0	9938808002824468.000000	3.126079
77.0	9954507749009016.000000	3.063303
79.0	9969453382570654.000000	3.000297
81.0	9983693755594688.000000	2.937701
83.0	9997273374665824.000000	2.876010
85.0	10010232917096902.000000	2.815584
87.0	10022609663607834.000000	2.756677
89.0	10034437868008586.000000	2.699456
91.0	10045749076716656.000000	2.644016
93.0	10056572406840668.000000	2.590400
95.0	10066934789435176.000000	2.538613
97.0	10076861183215628.000000	2.488636
99.0	10086374762937640.000000	2.440430
101.0	10095497085707324.000000	2.393946
103.0	10104248237841110.000000	2.349121
105.0	10112646964611334.000000	2.305885
107.0	10120710785172746.000000	2.264166
109.0	10128456094910886.000000	2.223887
111.0	10135898257192646.000000	2.184976
113.0	10143051686036424.000000	2.147366
115.0	10149929920736780.000000	2.110990
117.0	10156545693181590.000000	2.075783
119.0	10162910988558952.000000	2.041684
121.0	10169037100255840.000000	2.008633
123.0	10174934679808404.000000	1.976573
125.0	10180613782649292.000000	1.945455
127.0	10186083910142164.000000	1.915235
129.0	10191354048145828.000000	1.885868
131.0	10196432702251224.000000	1.857315
133.0	10201327929908466.000000	1.829536
135.0	10206047369804784.000000	1.802495
137.0	10210598268924192.000000	1.776156
139.0	10214987507643760.000000	1.750491
141.0	10219221623048134.000000	1.725471
143.0	10223306830495126.000000	1.701072
145.0	10227249043437742.000000	1.677266
147.0	10231053891599938.000000	1.654029
149.0	10234726737723610.000000	1.631337
151.0	10238272693148106.000000	1.609168
153.0	10241696632412876.000000	1.587503
155.0	10245003206943112.000000	1.566325
157.0	10248196857783716.000000	1.545616
159.0	10251281827351710.000000	1.525359
161.0	10254262170264638.000000	1.505536
163.0	10257141763393812.000000	1.486131
165.0	10259924315311558.000000	1.467129
167.0	10262613375235538.000000	1.448518
169.0	10265212341473676.000000	1.430285
171.0	10267724469314740.000000	1.412418
173.0	10270152878331260.000000	1.394904
175.0	10272500559137842.000000	1.377731
177.0	10274770379714512.000000	1.360887
179.0	10276965091408112.000000	1.344362
181.0	10279087334665214.000000	1.328147
183.0	10281139644474764.000000	1.312233
185.0	10283124455465042.000000	1.296611
187.0	10285044106628732.000000	1.281272
189.0	10286900845713972.000000	1.266206
191.0	10288696833365164.000000	1.251405
193.0	10290434147090406.000000	1.236862
195.0	10292114785079614.000000	1.222569
197.0	10293740669841884.000000	1.208521
199.0	10295313651613836.000000	1.194711
201.0	10296835511522040.000000	1.181131
203.0	10298307964534616.000000	1.167774
205.0	10299732662267286.000000	1.154635
207.0	10301111195695674.000000	1.141707
209.0	10302445097780624.000000	1.128987
211.0	10303735845973090.000000	1.116468
213.0	10304984864559574.000000	1.104146
215.0	10306193526839740.000000	1.092015
217.0	10307363157168672.000000	1.080070
219.0	10308495032914698.000000	1.068305
